Enterprise Sales | Onboarding Learning Plan,,,,,
ParMed Pharmaceuticals,,,,,
,,,,,
Announcement - Your curriculum in mySpark has any documents needed throughout onboarding,,,,,
Day,Time (EST),Agenda item,Facilitator,Duration (in hours),Instructions
,3:15 PM,Pharma ISS - Call Calibration Quality Assurance #1 - Action Learning,Ellen/Cass,1.00,Log into the open meeting link in your Outlook calendar. In your mySpark curriculum launch the Pharma ISS - Call - Calibration Quality Assurance #1 - Action Learning. Save it to your computer to use during this meeting. After the meeting return to mySpark and mark it as complete.
,4:15 PM,Pronunciation practice with peers,New hire cohort,0.75,"Log into the open meeting link in your Outlook calendar or connect live if you are in person. As a new hire cohort, informally practice pronunciations. You have no rubric or item to mark complete in mySpark - this session is just for practice. "
,5:00 PM,Self-paced catch-up time,Self-paced,1.00,"Use this time to catch upon any in progress mySpark items, review learning materials, practice pronunciations, or complete outstanding tasks. "
,6:00 PM,ParMed Day 3 Debrief and Game,Ellen/Cass,0.50,"Log into the open meeting link in your Outlook calendar. After your meeting, in your mySpark curriculum Activate and Mark Complete the ParMed Day 3 Debrief and Game item."
,6:30 PM,End of day,,,E.O.D
,,,Total hours:,8.50,
,,,,,
Day 4,10:00 AM,ParMed Advantage ,Clinton,0.50,"Log into the open meeting link in your Outlook calendar. After your meeting, in your mySpark curriculum Activate and Mark Complete the ParMed Advantage item."
June 4th,10:30 AM,ParMed - Roleplay - Prospecting - Demonstration Presentation with 1-5 grading scale,Ellen,1.00,Log into the open meeting link in your Outlook calendar. In your mySpark curriculum launch the ParMed - Roleplay - Prospecting - Demonstration Presentation with 1-5 grading scale rubric. Save it to your computer to use reference during this role play. After the meeting return to mySpark and mark it as complete.
,11:30 AM,Break,N/A,0.25,Break
,11:45 AM,Pharma ISS - Pronunciations Jeopardy,Natalie/Sami,0.75,"Log into the open meeting link in your Outlook calendar. After the meeting, in your mySpark curriculum Activate and Mark Complete the Pharma ISS - Pronunciations Jeopardy item. "
,12:30 PM,Lunch,N/A,1.00,Lunch
,1:30 PM,"Side-by-side Guide for New Hires #1 - Action Learning
Topic: Prospecting",Peer,1.00,"Log into the open meeting link in your Outlook calendar you scheduled with your mentor or peer. In your mySpark curriculum launch, download, save and fill in your Side-by-side Guide for New Hires #1 - Action Learning. Once your side by side is complete return to mySpark and mark complete your side by side. After marking complete, take the post-test, which is copying your answers/notes from the guide you downloaded and saved into the corresponding questions in mySpark. Hit Submit Final Answers once your have answered all the questions. "
,2:30 PM,Break,N/A,0.25,Break
,2:45 PM,Pharma ISS - Call Calibration Quality Assurance #2 - Action Learning,Clinton/Sami,1.00,Log into the open meeting link in your Outlook calendar. In your mySpark curriculum launch the Pharma ISS - Call - Calibration Quality Assurance #2 - Action Learning. Save it to your computer to use during this meeting. After the meeting return to mySpark and mark it as complete.
,3:45 PM,Break,N/A,0.25,Break
,4:00 PM,"Side-by-side Guide for New Hires #2 - Action Learning
Topic: General observation",Peer,1.50,"Log into the open meeting link in your Outlook calendar you scheduled with your mentor or peer. In your mySpark curriculum launch, download, save and fill in your Side-by-side Guide for New Hires #2 - Action Learning. Once your side by side is complete return to mySpark and mark complete your side by side. After marking complete, take the post-test, which is copying your answers/notes from the guide you downloaded and saved into the corresponding questions in mySpark. Hit Submit Final Answers once your have answered all the questions. "
,5:30 PM,Self-paced catch-up time,Self-paced,0.50,"Use this time to catch upon any in progress mySpark items, review learning materials, practice pronunciations, or complete outstanding tasks. "
,6:00 PM,ParMed Day 4 Debrief and Speed Round Pronunciations Practice,Sami/Cass,0.50,"Log into the open meeting link in your Outlook calendar. After your meeting, in your mySpark curriculum Activate and Mark Complete the ParMed Day 4 Debrief and Speed Pronunciations Practice item."
,6:30 PM,End of day,,,E.O.D
,,,Total hours:,8.50,
,,,,,
Day 5,10:00 AM,ParMed - Greet New Hires,Leadership,0.25,"Log into the open meeting link in your Outlook calendar. After your meeting, in your mySpark curriculum Activate and Mark Complete the ParMed - Greet New Hires item."
June 5th,10:15 AM,Pharma - Office 365 Level 1 - Participant Workbook,Self-paced,0.50,Complete your Self-paced work. In your mySpark curriculum Activate and Launch the Pharma ISS - Office 365 Level 1 - Participation Workbook. Follow the instructions to complete the activity. Once finished return to mySpark and mark complete. 
,10:45 AM,ParMed - Office 365 Scavenger Hunt - Action Learning,Leadership / Self-paced,0.50,Complete your Self-paced work. In your mySpark curriculum Activate and Launch the ParMed - Office 365 Scavenger Hunt - Action Learning. Follow the instructions to complete the activity. Once finished return to mySpark and mark complete. 
,11:15 AM,"Side-by-side Guide for New Hires #3 - Action Learning
Topic: General observation",Peer,1.50,"Log into the open meeting link in your Outlook calendar you scheduled with your mentor or peer. In your mySpark curriculum launch, download, save and fill in your Side-by-side Guide for New Hires #3 - Action Learning. Once your side by side is complete return to mySpark and mark complete your die by side. After marking complete, take the post-test, which is copying your answers/notes from the guide you downloaded and saved into the corresponding questions in mySpark. Hit Submit Final Answers once your have answered all the questions. "
,12:45PM,Break,N/A,0.25,Break
,1:00PM,ParMed - Prospecting Pre-Call Planner,Clinton / Self-paced,0.50,Log into the open meeting link in your Outlook calendar. In your mySpark curriculum launch the ParMed - Prospecting Pre-Call Planner. Save it to your computer to use after this meeting. After the meeting return to mySpark and mark it as complete.
,1:30 PM,Lunch,N/A,1.00,Lunch
,2:30 PM,ParMed - Prospecting PreCall Planner Role Play Rubric,Clinton,0.75,"Log into the open meeting link in your Outlook calendar. In your mySpark curriculum launch the ParMed - Prospecting Pre-Call Planner Role Play Rubric. Save it to your computer to reference during this meeting. Fill in your pre-call plan for a prospecting account in your base, then role play with your leaders. After the meeting return to mySpark and mark it as complete."
,3:15 PM,Break,N/A,0.25,Break
,3:30 PM,Life of a Script: Video,Self-paced ,0.25,Complete your Self-paced work. In your mySpark curriculum take the Life of a Script - Video module.
,3:45 PM,Life of a Script Pharmacists Activity - eLearning,Self-paced ,0.25,Complete your Self-paced work. In your mySpark curriculum take the Life of a Script Pharmacist Activity - eLearning module.
,4:00 PM,Introduction to Supply Chains,Self-paced ,0.25,Complete your Self-paced work. In your mySpark curriculum take the Introduction to Supply Chains module.
,4:15 PM,Pharmaceutical Supply Chain Overview - eLearning,Self-paced ,0.25,Complete your Self-paced work. In your mySpark curriculum take the Pharmaceutical Supply Chain Overview eLearning module.
,4:30 PM,Pharmaceutical Distribution - The National Logistics Center (NLC) - Video,Self-paced ,0.25,Complete your Self-paced work. In your mySpark curriculum take the Pharmaceutical Distribution - The National Logistics Center (NLC) - Video.
,4:45 PM,Pharmaceutical Distribution Center Operations - eLearning,Self-paced ,0.25,Complete your Self-paced work. In your mySpark curriculum take the Pharmaceutical Distribution Center Operations module.
,5:00 PM,Pharmaceutical Distribution Returns - eLearning,Self-paced ,0.25,Complete your Self-paced work. In your mySpark curriculum take the Pharmaceutical Distribution Returns eLearning module.
,5:15 PM,How a Pharmacy Makes Money - eLearning,Self-paced ,0.25,Complete your Self-paced work. In your mySpark curriculum take the How a Pharmacy Makes Money - eLearning.
,5:30 PM,Self-paced catch-up time,Self-paced,0.50,"Use this time to catch upon any in progress mySpark items, review learning materials, practice pronunciations, or complete outstanding tasks. "
,6:00 PM,ParMed Debrief Week 1 & Game,Cass/Sami,0.50,"Log into the open meeting link in your Outlook calendar. After your meeting, in your mySpark curriculum Activate and Mark Complete the ParMed Debrief Week 1 and Game item."
,6:30 PM,End of Day,Total hours:,8.50,E.O.D
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
