Enterprise Sales | Onboarding Learning Plan,,,,,
ParMed Pharmaceuticals,,,,,
,,,,,
Announcement - Your curriculum in mySpark has any documents needed throughout onboarding,,,,,
Day,Start time (EST),Agenda item,Facilitator,Duration (in hours),Instructions
,2:30 PM,"Side-by-side Guide for New Hires #6 - Action Learning
Topic: Salesforce",Peer,1.50,"Log into the open meeting link in your Outlook calendar you scheduled with your mentor or peer. In your mySpark curriculum launch, download, save and fill in your Side-by-side Guide for New Hires #6 - Action Learning. Once your side by side is complete return to mySpark and mark complete your die by side. After marking complete, take the post-test, which is copying your answers/notes from the guide you downloaded and saved into the corresponding questions in mySpark. Hit Submit Final Answers once your have answered all the questions. "
,4:00 PM,Break,N/A,0.25,Break
,4:15 PM,ParMed - Pronunciations Partner Quiz,Clinton / Self-paced,0.75,Log into the open meeting link in your Outlook calendar. Your leader will pair you into groups. Quiz your partner using the Top Drug List you saved earlier in onboarding. After the meeting in your mySpark curriculum Activate and Mark Complete the ParMed - Pronunciations Partner Quiz Item.
,5:00 PM,Pharma ISS - Call Calibration Quality Assurance #4 - Action Learning,Clinton/Ellen,1.00,Log into the open meeting link in your Outlook calendar. In your mySpark curriculum launch the Pharma ISS - Call - Calibration Quality Assurance #4 - Action Learning. Save it to your computer to use during this meeting. After the meeting return to mySpark and mark it as complete.
,6:00 PM,ParMed Day 8 Debrief and Speed Round Pronunciations Practice,Sami,0.50,"Log into the open meeting link in your Outlook calendar. After your meeting, in your mySpark curriculum Activate and Mark Complete the ParMed Day 8 Debrief and Speed Pronunciations Practice item."
,6:30 PM,End of day,,,E.O.D
,,,Total hours:,8.50,
,,,,,
Day 9  ,10:00 AM,ParMed Case Management,Ellen & Ryan Lipps,0.50," In your mySpark curriculum, complete the ParMed Case Management assignment and mark as complete when finished."
June 11th,10:30 AM,Case Intake Tool - Action Learning,Self-paced,0.50,"Log into the open meeting link in your Outlook calendar. In your mySpark curriculum Activate, Launch, and Download the Salesforce for ParMed - Cases- Job Aid. Reference the document during this meeting. After the meeting return to mySpark and mark as complete."
,11:00 AM,Salesforce for ParMed - Cases - Job Aid,Self-paced,0.25," In your mySpark curriculum, download the Salesforce for ParMed - Cases - Job Aid and mark as complete when finished."
,11:15 AM, SFDC Credit Review ,Ellen,0.75,Log into the open meeting link in your Outlook calendar.
,12:00PM,Lunch ,N/A,1.00,Lunch
,1:00 PM,Market Space - ParMed Advantage ,Clinton/Sami,0.50,"Log into the open meeting link in your Outlook calendar. After your meeting, in your mySpark curriculum Activate and Mark Complete the Market Space - ParMed Advantage item."
,1:30 PM,"Side-by-side Guide for New Hires #7 - Action Learning
Topic: Salesforce",Peer,1.50,"Log into the open meeting link in your Outlook calendar you scheduled with your mentor or peer. In your mySpark curriculum launch, download, save and fill in your Side-by-side Guide for New Hires #7 - Action Learning. Once your side by side is complete return to mySpark and mark complete your die by side. After marking complete, take the post-test, which is copying your answers/notes from the guide you downloaded and saved into the corresponding questions in mySpark. Hit Submit Final Answers once your have answered all the questions. "
