Enterprise Sales | Onboarding Learning Plan,,,,,
ParMed Pharmaceuticals,,,,,
,,,,,
Announcement - Your curriculum in mySpark has any documents needed throughout onboarding,,,,,
Day,Start time (EST),Agenda item,Facilitator,Duration (in hours),Instructions
WEEK THREE,,,,,
Day 11,10:00 AM,ParMed - Introduction to Promotions,Clinton/Cass,1.50,"Log into the open meeting link in your Outlook calendar. After your meeting, in your mySpark curriculum Activate and Mark Complete the ParMed - Introduction to Promotions item."
June 15th,11:30 AM,Pharma ISS - Schedule Side by Sides,Self-paced,0.50,"No meeting during this Self-paced time. Schedule your side by sides for the week three with your assigned mentor in Outlook, please ensure that your direct manager is on the invite as optional. If your mentor declines any of them reach out to your management team to schedule with another rep from your sites mentor bench. IF you and another new hire are doubled up with a mentor please work together to schedule ONE meeting per side by side. Once you have scheduled your side by sides go In your mySpark curriculum to Active and mark complete the Pharma ISS - Schedule Side by Sides item."
,12:00PM,Lunch ,N/A,1.00,Lunch
,1:00 PM,ParMed - Objection Handling Role Play,Ellen/Sami,1.00,"Log into the open meeting link in your Outlook calendar. Reference your standard role play rubric you saved earlier in onboarding. After your meeting, in your mySpark curriculum Activate and Mark Complete the ParMed - Objection Handling Role Play item."
,2:00 PM,Break,Break,0.25,Break
,2:15 PM,"Side-by-side Guide for New Hires #10 - Action Learning
Topic: promotions",Peer,1.50,"Log into the open meeting link in your Outlook calendar you scheduled with your mentor or peer. In your mySpark curriculum launch, download, save and fill in your Side-by-side Guide for New Hires #10 - Action Learning. Once your side by side is complete return to mySpark and mark complete your die by side. After marking complete, take the post-test, which is copying your answers/notes from the guide you downloaded and saved into the corresponding questions in mySpark. Hit Submit Final Answers once your have answered all the questions. "
,3:00 PM,Break,N/A,0.25,Break
,4:00 PM,ParMed - Promo Practice Role Play Rubric,Clinton,1.00,Log into the open meeting link in your Outlook calendar. In your mySpark curriculum launch the ParMed - Promo Practice Role Play Rubric. Save it to your computer to use reference during this role play. After the meeting return to mySpark and mark it as complete.
,5:15 PM,Self-paced catch-up time,Self-paced,0.75,"Use this time to catch upon any in progress mySpark items, review learning materials, practice pronunciations, or complete outstanding tasks. "
,6:00 PM,Day 11 Debrief & Game (BINGO),Clinton/Sami,0.75,"Log into the open meeting link in your Outlook calendar. After your meeting, in your mySpark curriculum Activate and Mark Complete the ParMed Day 11 Debrief and Game item."
,6:30 PM,End of day,Supervisor,,E.O.D
,,,Total hours:,8.50,
,,,,,
Day 12,10:00 AM,"Price Negotiations - Abbreviations, proofs bids",Natalie,0.50,Log into the open meeting link in your Outlook calendar. No item to mark as complete in your mySpark curriculum.
June 16th,10:30 AM,Role Play - Hands to Keys-price negotiations,Natalie/Ellen,0.75,Log into the open meeting link in your Outlook calendar. No item to mark as complete in your mySpark curriculum.
,11:15 AM,Self-paced review: ParMed Advantage,Self-paced,0.75,Independently review your notes on the ParMed Advantage. Continue pre-call planning and outlining talking points for customers. No item to mark as complete in your mySpark curriculum.
,12:00 PM,Lunch,N/A,1.00,Lunch
,1:00 PM,"Side-by-side Guide for New Hires #11 - Action Learning
Topic: general observation",Peer,1.50,"Log into the open meeting link in your Outlook calendar you scheduled with your mentor or peer. In your mySpark curriculum launch, download, save and fill in your Side-by-side Guide for New Hires #11 - Action Learning. Once your side by side is complete return to mySpark and mark complete your die by side. After marking complete, take the post-test, which is copying your answers/notes from the guide you downloaded and saved into the corresponding questions in mySpark. Hit Submit Final Answers once your have answered all the questions. "
,2:30 PM,Break,N/A,0.25,Break
,2:45 PM,Self-paced time for pre-call planning as you prepare to conduct solo customer calls,Self-paced,1.00,Log into the open meeting link in your Outlook calendar. No item to mark as complete in your mySpark curriculum.
,3:45 PM,Solo Calls with Supervisor & Manager to assist,Leadership,1.50,Log into the meeting link in your Outlook calendar. No item to mark as complete in your mySpark curriculum.
,5:15 PM,Self-paced catch-up time,Self-paced,0.75,"Use this time to catch upon any in progress mySpark items, review learning materials, practice pronunciations, or complete outstanding tasks. "
,6:00 PM,Day 12 Debrief & Game,Ellen,0.50,Log into the open meeting link in your Outlook calendar. No item to mark as complete in your mySpark curriculum.
,6:30 PM,End of day,,,E.O.D
,,,Total hours:,8.50,
,,,,,
Day 13,10:00 AM,Training Review Q & A,Ellen,0.75,Training Overview discussion and Q&A with leader. Log into the open meeting link in your Outlook calendar. No item to mark as complete in your mySpark curriculum.
June 17th,10:45 AM,Google Looker Overview,Ellen,1.00,Log into the open meeting link in your Outlook calendar. No item to mark as complete in your mySpark curriculum.
,11:45 AM,Recap take-aways from sales tools ,Ellen,0.75,Log into the open meeting link in your Outlook calendar. No item to mark as complete in your mySpark curriculum.
,12:30 PM,Lunch,N/A,1.00,Lunch
,1:30 PM,"Side-by-side Guide for New Hires #12 - Action Learning
Topic: general observation / promos",Peer,1.50,"Log into the open meeting link in your Outlook calendar you scheduled with your mentor or peer. In your mySpark curriculum launch, download, save and fill in your Side-by-side Guide for New Hires #12 - Action Learning. Once your side by side is complete return to mySpark and mark complete your die by side. After marking complete, take the post-test, which is copying your answers/notes from the guide you downloaded and saved into the corresponding questions in mySpark. Hit Submit Final Answers once your have answered all the questions. "
,3:00pm,Break,Break,0.25,Break
,3:30 PM,CSR Team Meeting,Cass/Sami,0.25,Cass/Sami sending out Outlook invite
,4:00 PM,Solo Calls with Supervisor & Manager to Assist,Leadership,1.25,Log into the open meeting link in your Outlook calendar. No item to mark as complete in your mySpark curriculum.
,5:15 PM,Self-paced catch-up time,Self-paced,0.75,"Use this time to catch upon any in progress mySpark items, review learning materials, practice pronunciations, or complete outstanding tasks. "
,6:00 PM,Day 13 Debrief & Game,Sami,0.50,Log into the open meeting link in your Outlook calendar. No item to mark as complete in your mySpark curriculum.
,6:30 PM,End of day,,,E.O.D
,,,Total hours:,8.00,
,,,,,
Day 14,10:00 AM,High Margin Overview,Natalie/Cass,0.50,Log into the open meeting link in your Outlook calendar. No item to mark as complete in your mySpark curriculum.
June 18th,10:30 AM,Day in the Life - Rep #1- Sales Tools,Dave N/Ellen,0.75,Log into the open meeting link in your Outlook calendar. No item to mark as complete in your mySpark curriculum.
,11:15 AM,Self-paced review and pre-call planning,Self-paced,1.25,"Use this time to review your notes and materials and begin pre-call planning, i.e. start outlining greetings, scripts, or probing questions you may like to ask customers as you prepare for solo calls. "
,12:30 PM,Lunch,N/A,1.00,Lunch
,1:30 PM,Side-by-side Guide for New Hires #13 - Action Learning,Peer,1.50,"Log into the open meeting link in your Outlook calendar you scheduled with your mentor or peer. In your mySpark curriculum launch, download, save and fill in your Side-by-side Guide for New Hires #13 - Action Learning. Once your side by side is complete return to mySpark and mark complete your die by side. After marking complete, take the post-test, which is copying your answers/notes from the guide you downloaded and saved into the corresponding questions in mySpark. Hit Submit Final Answers once your have answered all the questions. "
,3:00 PM,Break,N/A,0.25,Break
,3:15 PM,Roleplay - Hands to Keys,Peer,1.00,Log into the open meeting link in your Outlook calendar. No item to mark as complete in your mySpark curriculum.
,4:15 PM,Solo Calls with Mentor to Assist,Peer,1.00,Log into the open meeting link in your Outlook calendar. No item to mark as complete in your mySpark curriculum.
,5:15 PM,Break,N/A,0.25,Break
,5:30 PM,Pronunciation practice with peers,New hire cohort,0.50,"Log into the open meeting link in your Outlook calendar or connect live if you are in person. As a new hire cohort, informally practice pronunciations. You have no rubric or item to mark complete in mySpark - this session is just for practice. "
,6:00 PM,Day 14 Debrief,Cass,0.50,Log into the open meeting link in your Outlook calendar. No item to mark as complete in your mySpark curriculum.
,6:30 PM,End of day,,,E.O.D
,,,Total hours:,8.50,
,,,,,
Day 15,10:00 AM,Onboarding Recap & Check In,Natalie,0.50,Log into the open meeting link in your Outlook calendar. No item to mark as complete in your mySpark curriculum.
June 19th,10:30 AM,Transitioning to your role,Clinton/Cass,1.00,Log into the open meeting link in your Outlook calendar. No item to mark as complete in your mySpark curriculum.
,11:30 AM,Break,N/A,0.25,Break
,11:45 AM,Foundations of Success ,Clinton,0.75,Log into the open meeting link in your Outlook calendar. No item to mark as complete in your mySpark curriculum.
,12:30 PM,Lunch,N/A,1.00,Lunch
,1:30 PM,KPI Discussion ,Clinton/Cass,0.50,Log into the open meeting link in your Outlook calendar. No item to mark as complete in your mySpark curriculum.
,2:00 PM,Solo calls   ,Self-paced / Peer,1.50,Log into the open meeting link in your Outlook calendar. No item to mark as complete in your mySpark curriculum.
,3:30 PM,Break,N/A,0.25,Break
,3:45 PM,Website Review,Cameron Newsome,0.50,Log into the open meeting link in your Outlook calendar. No item to mark as complete in your mySpark curriculum.
,4:15 PM,Workday Time Keeping,Admin,0.50,Log into the open meeting link in your Outlook calendar. No item to mark as complete in your mySpark curriculum.
,4:45 PM,Final Onboarding Knowledge Assessment - ParMed,Self-paced ,1.00,Complete your final onboarding assessment in your mySpark curriculum.
,5:45 PM,ParMed - Day 15 - Completion Confirmation,Self-paced,0.25,"At the end of the day go to your mySpark curriculum and Active, Mark Complete, and Notify Observer for the ParMed - Day 15 - Completion Confirmation item."
,6:00 PM,Day 15 Debrief & Game,Cass,0.50,Log into the open meeting link in your Outlook calendar. No item to mark as complete in your mySpark curriculum.
,6:30 PM,End of Day,,,E.O.D
,,,Total hours:,8.50,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
